archivo,algoritmo,nivel,tamano_bytes,tamano_base,ratio,ahorro_pct,tiempo_s,content_encoding
index.html,ninguno,0,459909,459909,1.0000,0,.000982,identity
estilos.css,ninguno,0,226893,226893,1.0000,0,.000901,identity
estilos.min.css,ninguno,0,196893,196893,1.0000,0,.001333,identity
app.js,ninguno,0,322786,322786,1.0000,0,.001557,identity
datos.json,ninguno,0,344696,344696,1.0000,0,.001885,identity
feed.xml,ninguno,0,205839,205839,1.0000,0,.001456,identity
grafico.svg,ninguno,0,98591,98591,1.0000,0,.001227,identity
lorem.txt,ninguno,0,2043894,2043894,1.0000,0,.002284,identity
foto.jpg,ninguno,0,500000,500000,1.0000,0,.001139,identity
imagen.png,ninguno,0,300000,300000,1.0000,0,.000800,identity
clip.mp4,ninguno,0,800000,800000,1.0000,0,.001424,identity
paquete.zip,ninguno,0,644863,644863,1.0000,0,.001181,identity
index.html,gzip,1,17236,459909,.0374,96.2600,.003481,gzip
estilos.css,gzip,1,5918,226893,.0260,97.4000,.001808,gzip
estilos.min.css,gzip,1,5882,196893,.0298,97.0200,.002066,gzip
app.js,gzip,1,14411,322786,.0446,95.5400,.002484,gzip
datos.json,gzip,1,31794,344696,.0922,90.7800,.004113,gzip
feed.xml,gzip,1,11473,205839,.0557,94.4300,.002194,gzip
grafico.svg,gzip,1,9135,98591,.0926,90.7400,.001975,gzip
lorem.txt,gzip,1,46991,2043894,.0229,97.7100,.011893,gzip
foto.jpg,gzip,1,500000,500000,1.0000,0,.001389,identity
imagen.png,gzip,1,300000,300000,1.0000,0,.001021,identity
clip.mp4,gzip,1,800000,800000,1.0000,0,.001721,identity
paquete.zip,gzip,1,644863,644863,1.0000,0,.001170,identity
index.html,gzip,6,17612,459909,.0382,96.1800,.004521,gzip
estilos.css,gzip,6,5771,226893,.0254,97.4600,.002845,gzip
estilos.min.css,gzip,6,5740,196893,.0291,97.0900,.003743,gzip
app.js,gzip,6,14514,322786,.0449,95.5100,.006835,gzip
datos.json,gzip,6,32462,344696,.0941,90.5900,.007868,gzip
feed.xml,gzip,6,11488,205839,.0558,94.4200,.003985,gzip
grafico.svg,gzip,6,7625,98591,.0773,92.2700,.002439,gzip
lorem.txt,gzip,6,44468,2043894,.0217,97.8300,.018146,gzip
foto.jpg,gzip,6,500000,500000,1.0000,0,.000967,identity
imagen.png,gzip,6,300000,300000,1.0000,0,.000782,identity
clip.mp4,gzip,6,800000,800000,1.0000,0,.001189,identity
paquete.zip,gzip,6,644863,644863,1.0000,0,.001053,identity
index.html,gzip,9,17351,459909,.0377,96.2300,.006148,gzip
estilos.css,gzip,9,5704,226893,.0251,97.4900,.002789,gzip
estilos.min.css,gzip,9,5664,196893,.0287,97.1300,.004392,gzip
app.js,gzip,9,14294,322786,.0442,95.5800,.007461,gzip
datos.json,gzip,9,32243,344696,.0935,90.6500,.017669,gzip
feed.xml,gzip,9,11351,205839,.0551,94.4900,.005317,gzip
grafico.svg,gzip,9,7247,98591,.0735,92.6500,.005719,gzip
lorem.txt,gzip,9,43598,2043894,.0213,97.8700,.019700,gzip
foto.jpg,gzip,9,500000,500000,1.0000,0,.001121,identity
imagen.png,gzip,9,300000,300000,1.0000,0,.000807,identity
clip.mp4,gzip,9,800000,800000,1.0000,0,.001286,identity
paquete.zip,gzip,9,644863,644863,1.0000,0,.001129,identity
index.html,brotli,5,7258,459909,.0157,98.4300,.005917,br
estilos.css,brotli,5,2779,226893,.0122,98.7800,.003400,br
estilos.min.css,brotli,5,2772,196893,.0140,98.6000,.003829,br
app.js,brotli,5,6491,322786,.0201,97.9900,.004431,br
datos.json,brotli,5,11626,344696,.0337,96.6300,.006074,br
feed.xml,brotli,5,5062,205839,.0245,97.5500,.003343,br
grafico.svg,brotli,5,7592,98591,.0770,92.3000,.003096,br
lorem.txt,brotli,5,20535,2043894,.0100,99.0000,.026158,br
foto.jpg,brotli,5,500000,500000,1.0000,0,.000930,identity
imagen.png,brotli,5,300000,300000,1.0000,0,.000888,identity
clip.mp4,brotli,5,800000,800000,1.0000,0,.001158,identity
paquete.zip,brotli,5,644863,644863,1.0000,0,.001133,identity
index.html,brotli,11,7769,459909,.0168,98.3200,1.640921,br
estilos.css,brotli,11,2459,226893,.0108,98.9200,.665476,br
estilos.min.css,brotli,11,2668,196893,.0135,98.6500,.498671,br
app.js,brotli,11,6721,322786,.0208,97.9200,.736508,br
datos.json,brotli,11,12577,344696,.0364,96.3600,.639899,br
feed.xml,brotli,11,5412,205839,.0262,97.3800,.490565,br
grafico.svg,brotli,11,5712,98591,.0579,94.2100,.174528,br
lorem.txt,brotli,11,19843,2043894,.0097,99.0300,7.053228,br
foto.jpg,brotli,11,500000,500000,1.0000,0,.000996,identity
imagen.png,brotli,11,300000,300000,1.0000,0,.000755,identity
clip.mp4,brotli,11,800000,800000,1.0000,0,.001252,identity
paquete.zip,brotli,11,644863,644863,1.0000,0,.000972,identity
